name	paper	last	bid	offer	change	open	low	high	prev_price	volume	bid_depth_total	offer_depth_total
XACT Derivat BEAR	OBXEXDBEAR	16.45	16.45	16.5	-0.2	16.7	16.45	16.7	16.65	1502135	1334429	2548459
XACT Derivat BULL	OBXEXDBULL	66.95	66.95	67.05	0.6	66.45	66.	67.15	66.35	222012	378724	248172
XACT Energi	XACT-ENERGI	0	103.8	104.7	0	0	0	0	105.2	0	30000	30025
XACT Finans	XACT-FINANS	0	80.15	81.	0	0	0	0	83	0	30000	30000
XACT Industri	XACT-INDUSTRI	0	74.7	75.5	0	0	0	0	89.55	0	30000	30000
XACT Konsum	XACT-KONSUM	0	75.15	75.95	0	0	0	0	0	0	30000	30000
XACT Legemiddel	XACT-LEGEMIDDEL	0	108.3	109.2	0	0	0	0	109.7	0	30000	30000
XACT Materialer	XACT-MATERIALER	0	68.3	69.15	0	0	0	0	67.15	0	30000	30000
XACT Norden 120	XACT-NORDEN-120	0	78.6	79.45	0	0	0	0	81.75	0	30000	30000
XACT OBX	OBXEXACT	39.9	39.85	39.9	0.35	39.6	39.6	39.9	39.55	16251	242900	216957
XACT Oil Service	XACT-OILSERVICE	109.8	109.6	109.9	1.7	109.8	109.8	109.8	108.1	64	25000	25050
Yara International	YAR	286.5	286.4	286.6	2.9	286.7	283.7	287.2	283.6	166482	83736	122308
